date,CH,BE,VD,ZH,name
03.04.2026,TRUE,TRUE,TRUE,TRUE,Good Friday
05.04.2026,FALSE,TRUE,TRUE,FALSE,Easter Sunday
06.04.2026,TRUE,TRUE,TRUE,TRUE,Easter Monday
01.05.2026,FALSE,FALSE,FALSE,TRUE,Labour Day
14.05.2026,TRUE,TRUE,TRUE,TRUE,Ascension Day
24.05.2026,FALSE,TRUE,TRUE,FALSE,Whitsunday
25.05.2026,TRUE,TRUE,TRUE,TRUE,Whit Monday
01.08.2026,TRUE,TRUE,TRUE,TRUE,Swiss National Day
21.09.2026,FALSE,FALSE,TRUE,FALSE,Bettagsmontag
25.12.2026,TRUE,TRUE,TRUE,TRUE,Christmas Day
26.12.2026,TRUE,TRUE,FALSE,TRUE,St. Stephen's Day
01.01.2027,TRUE,TRUE,TRUE,TRUE,New Year's Day
02.01.2027,FALSE,TRUE,TRUE,FALSE,Berchtold's Day
26.03.2027,TRUE,TRUE,TRUE,TRUE,Good Friday
28.03.2027,FALSE,TRUE,TRUE,FALSE,Easter Sunday
29.03.2027,TRUE,TRUE,TRUE,TRUE,Easter Monday
01.05.2027,FALSE,FALSE,FALSE,TRUE,Labour Day
06.05.2027,TRUE,TRUE,TRUE,TRUE,Ascension Day
16.05.2027,FALSE,TRUE,TRUE,FALSE,Whitsunday
17.05.2027,TRUE,TRUE,TRUE,TRUE,Whit Monday
01.08.2027,TRUE,TRUE,TRUE,TRUE,Swiss National Day
20.09.2027,FALSE,FALSE,TRUE,FALSE,Bettagsmontag
25.12.2027,TRUE,TRUE,TRUE,TRUE,Christmas Day
26.12.2027,TRUE,TRUE,FALSE,TRUE,St. Stephen's Day
01.01.2028,TRUE,TRUE,TRUE,TRUE,New Year's Day
02.01.2028,FALSE,TRUE,TRUE,FALSE,Berchtold's Day
14.04.2028,TRUE,TRUE,TRUE,TRUE,Good Friday
16.04.2028,FALSE,TRUE,TRUE,FALSE,Easter Sunday
17.04.2028,TRUE,TRUE,TRUE,TRUE,Easter Monday
01.05.2028,FALSE,FALSE,FALSE,TRUE,Labour Day
25.05.2028,TRUE,TRUE,TRUE,TRUE,Ascension Day
04.06.2028,FALSE,TRUE,TRUE,FALSE,Whitsunday
05.06.2028,TRUE,TRUE,TRUE,TRUE,Whit Monday
01.08.2028,TRUE,TRUE,TRUE,TRUE,Swiss National Day
18.09.2028,FALSE,FALSE,TRUE,FALSE,Bettagsmontag
25.12.2028,TRUE,TRUE,TRUE,TRUE,Christmas Day
26.12.2028,TRUE,TRUE,FALSE,TRUE,St. Stephen's Day
01.01.2029,TRUE,TRUE,TRUE,TRUE,New Year's Day
02.01.2029,FALSE,TRUE,TRUE,FALSE,Berchtold's Day
30.03.2029,TRUE,TRUE,TRUE,TRUE,Good Friday
01.04.2029,FALSE,TRUE,TRUE,FALSE,Easter Sunday
02.04.2029,TRUE,TRUE,TRUE,TRUE,Easter Monday
01.05.2029,FALSE,FALSE,FALSE,TRUE,Labour Day
10.05.2029,TRUE,TRUE,TRUE,TRUE,Ascension Day
20.05.2029,FALSE,TRUE,TRUE,FALSE,Whitsunday
21.05.2029,TRUE,TRUE,TRUE,TRUE,Whit Monday
01.08.2029,TRUE,TRUE,TRUE,TRUE,Swiss National Day
24.09.2029,FALSE,FALSE,TRUE,FALSE,Bettagsmontag
25.12.2029,TRUE,TRUE,TRUE,TRUE,Christmas Day
26.12.2029,TRUE,TRUE,FALSE,TRUE,St. Stephen's Day
